,submission_status,work_rate,extra_time_min,average_answer_time_in_min,progress_percent
5029,passed,slow,358.20000000000005,538.2,40.0
5030,passed,fast,0.0,17.400000000000002,40.0
5031,passed,fast,0.0,22.200000000000003,40.0
5032,passed,fast,0.0,190.2,40.0
5033,Not passed,fast,0.0,0.0,59.0
5034,passed,slow,154.20000000000005,334.20000000000005,59.0
5035,passed,slow,99.0,279.0,59.0
5036,passed,slow,45.0,225.0,59.0
5037,passed,fast,0.0,158.7,59.0
5038,passed,fast,0.0,64.2,59.0
5039,passed,slow,2.1000000000000227,362.1,59.0
5040,passed,fast,0.0,73.2,59.0
5041,passed,slow,234.60000000000002,414.6,59.0
5042,passed,slow,82.19999999999999,442.2,59.0
5043,passed,fast,0.0,139.8,59.0
5044,passed,fast,0.0,178.8,59.0
5045,passed,normal,0.0,114.0,59.0
5046,passed,slow,150.59999999999997,510.59999999999997,59.0
5047,passed,slow,109.80000000000001,289.8,59.0
5048,passed,normal,0.0,265.2,59.0
5049,passed,slow,140.39999999999998,500.4,59.0
5050,passed,slow,410.70000000000005,770.7,59.0
5051,passed,slow,69.60000000000002,429.6,59.0
5052,passed,fast,0.0,257.7,59.0
5053,passed,slow,43.20000000000002,223.20000000000002,59.0
5054,passed,normal,0.0,93.0,59.0
5055,passed,fast,0.0,73.2,59.0
5056,passed,normal,0.0,174.60000000000002,59.0
5057,passed,normal,0.0,262.8,59.0
5058,passed,normal,0.0,148.8,59.0
5059,passed,slow,64.20000000000002,244.20000000000002,59.0
5060,passed,slow,246.0,426.0,59.0
5061,passed,slow,175.79999999999995,355.79999999999995,59.0
5062,passed,normal,0.0,281.40000000000003,59.0
5063,passed,slow,309.0,669.0,59.0
5064,passed,fast,0.0,162.0,52.0
5065,passed,normal,0.0,300.9,52.0
5066,passed,slow,132.60000000000002,492.6,52.0
5067,passed,slow,57.60000000000002,417.6,52.0
5068,passed,slow,13.800000000000011,193.8,52.0
5069,passed,fast,0.0,99.0,52.0
5070,passed,normal,0.0,284.40000000000003,52.0
5071,passed,normal,0.0,324.9,52.0
5072,passed,slow,92.10000000000002,272.1,52.0
5073,passed,fast,0.0,235.2,52.0
5074,passed,slow,410.4,590.4,52.0
5075,passed,fast,0.0,155.39999999999998,52.0
5076,passed,slow,388.80000000000007,748.8000000000001,52.0
5077,passed,slow,321.6,681.6,52.0
5078,passed,normal,0.0,264.6,52.0
5079,passed,fast,0.0,312.6,52.0
5080,passed,slow,166.2,346.2,52.0
5081,passed,slow,24.0,204.0,52.0
5082,passed,fast,0.0,117.6,52.0
5083,passed,normal,0.0,154.2,52.0
5084,passed,normal,0.0,244.20000000000002,52.0
5085,passed,slow,346.79999999999995,526.8,52.0
5086,passed,slow,133.2,313.2,52.0
